Depth,POINTID,pH_CaCl2,pH_H2O,EC,OC,CaCO3,P,N,K,OC (20-30 cm),CaCO3 (20-30 cm),Ox_Al,Ox_Fe,NUTS_0,NUTS_1,NUTS_2,NUTS_3,TH_LAT,TH_LONG,SURVEY_DATE,Elev,LC,LU,LC0_Desc,LC1_Desc,LU1_Desc,Depth_code,land_use_code,OC_Class,pH_Class,Fertility_Class,photo_path,photo_exists
0-20 cm,54241718,7.4,8.19,16.17,32.7,681.0,26.5,1.5,132.2,13.45,287.5,0.9,1.9,EL,EL6,EL65,EL651,37.7282084,22.48044045,21-04-18,843,D10,U420,Shrubland,Shrubland with sparse tree cover,Semi-natural and natural areas not in use,1,22,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\542\417\54241718E.jpg,True
0-20 cm,54241874,7.0,7.72,18.41,21.0,3.0,26.5,2.4,169.9,13.45,287.5,0.9,1.9,EL,EL6,EL61,EL613,39.1214462,22.74418024,21-07-18,290,E30,U111,Grassland,Spontaneously re-vegetated surfaces,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\542\418\54241874E.jpg,True
0-20 cm,54241902,7.4,8.07,21.69,18.4,42.0,26.5,2.1,238.2,13.45,287.5,0.9,1.9,EL,EL6,EL61,EL613,39.37114755,22.79317777,3/7/2018,160,F40,U111,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),1,3,Moderate,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\542\419\54241902E.jpg,True
0-20 cm,54261738,7.4,7.81,14.06,18.5,54.0,26.5,1.9,206.7,13.45,287.5,0.9,1.9,EL,EL6,EL65,EL652,37.90406392,22.53577253,23-08-18,731,E10,U415,Grassland,Grassland with sparse tree/shrub cover,Other abandoned areas,1,16,Moderate,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\542\617\54261738E.jpg,True
0-20 cm,54261836,6.7,7.33,7.26,11.8,5.0,16.0,1.3,319.6,13.45,287.5,0.9,1.9,EL,EL6,EL64,EL644,38.77938277,22.70115999,22-08-18,142,B81,U111,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens),1,3,Moderate,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\542\618\54261836E.jpg,True
0-20 cm,54281644,7.3,7.69,14.08,26.2,37.0,45.8,1.8,126.1,13.45,287.5,0.9,1.9,EL,EL6,EL65,EL653,37.06023421,22.4048102,14-06-18,255,B76,U111,Cropland,Oranges,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\542\816\54281644E.jpg,True
0-20 cm,54281680,7.3,7.94,16.59,26.2,132.0,37.6,2.7,270.5,13.45,287.5,0.9,1.9,EL,EL6,EL65,EL651,37.38242109,22.46290477,14-05-18,1103,E30,U111,Grassland,Spontaneously re-vegetated surfaces,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\542\816\54281680E.jpg,True
0-20 cm,54282012,7.7,8.37,17.72,10.3,66.0,17.9,0.8,341.0,13.45,287.5,0.9,1.9,EL,EL5,EL52,EL527,40.34487027,23.03716634,11/5/2018,71,B82,U111,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens),1,3,Moderate,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\542\820\54282012E.jpg,True
0-20 cm,54282022,7.2,8.03,15.13,6.5,7.0,26.5,0.9,140.3,13.45,287.5,0.9,1.9,EL,EL5,EL52,EL522,40.43386015,23.05561096,8/8/2018,275,F40,U111,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),1,3,Low,Alkaline,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\542\820\54282022E.jpg,True
0-20 cm,54282108,7.4,8.0,31.43,9.9,9.0,26.5,1.3,106.0,13.45,287.5,0.9,1.9,EL,EL5,EL52,EL526,41.19860903,23.21721222,1/9/2018,71,F40,U111,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),1,3,Low,Alkaline,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\542\821\54282108E.jpg,True
0-20 cm,54301678,7.3,8.18,11.27,9.0,31.0,26.5,0.9,106.3,13.45,287.5,0.9,1.9,EL,EL6,EL65,EL651,37.36158243,22.48185866,22-08-18,1333,D10,U111,Shrubland,Shrubland with sparse tree cover,Agriculture (excluding fallow land and kitchen gardens),1,3,Low,Alkaline,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\543\016\54301678E.jpg,True
0-20 cm,54301732,7.4,8.03,15.8,22.0,22.0,26.5,1.8,282.2,13.45,287.5,0.9,1.9,EL,EL6,EL65,EL652,37.8444959,22.57054714,6/4/2018,498,B81,U111,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\543\017\54301732E.jpg,True
0-20 cm,54301746,7.7,8.21,19.61,13.7,259.0,26.5,1.5,240.6,13.45,287.5,0.9,1.9,EL,EL6,EL65,EL652,37.9696259,22.59383189,30-07-18,802,B82,U111,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens),1,3,Moderate,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\543\017\54301746E.jpg,True
0-20 cm,54301756,7.4,7.82,23.2,27.2,577.0,15.9,3.0,198.5,13.45,287.5,0.9,1.9,EL,EL6,EL65,EL652,38.05898698,22.61053826,2/8/2018,103,B81,U111,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\543\017\54301756E.jpg,True
0-20 cm,54301882,7.6,8.39,16.19,10.1,41.0,26.5,1.4,240.6,13.45,287.5,0.9,1.9,EL,EL6,EL61,EL613,39.1837016,22.82648442,18-05-18,43,B34,U111,Cropland,Cotton,Agriculture (excluding fallow land and kitchen gardens),1,3,Moderate,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\543\018\54301882E.jpg,True
0-20 cm,54321600,6.7,7.11,13.01,60.3,5.0,113.5,5.8,543.8,13.45,287.5,0.9,1.9,EL,EL6,EL65,EL653,36.66036191,22.37881999,10/4/2018,233,E10,U420,Grassland,Grassland with sparse tree/shrub cover,Semi-natural and natural areas not in use,1,22,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\543\216\54321600E.jpg,True
0-20 cm,54321748,6.5,7.02,18.37,26.1,2.0,26.5,2.2,328.0,13.45,287.5,0.9,1.9,EL,EL6,EL65,EL652,37.98451818,22.6195633,6/4/2018,813,C10,U420,Woodland,Broadleaved woodland,Semi-natural and natural areas not in use,1,22,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\543\217\54321748E.jpg,True
0-20 cm,54321856,7.5,7.76,25.7,61.1,11.0,10.5,4.0,545.0,13.45,287.5,0.9,1.9,EL,EL6,EL64,EL644,38.94877218,22.80378839,28-07-18,255,C10,U420,Woodland,Broadleaved woodland,Semi-natural and natural areas not in use,1,22,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\543\218\54321856E.jpg,True
0-20 cm,54341664,5.9,6.53,4.88,7.2,5.0,26.5,1.0,110.7,13.45,287.5,0.9,1.9,EL,EL6,EL65,EL653,37.23042035,22.50347445,7/7/2018,857,D20,U420,Shrubland,Shrubland without tree cover,Semi-natural and natural areas not in use,1,22,Low,Neutral,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\543\416\54341664E.jpg,True
0-20 cm,54341674,4.8,5.53,8.59,33.4,1.0,26.5,2.7,121.8,13.45,287.5,0.9,1.9,EL,EL6,EL65,EL653,37.31989305,22.51973573,8/7/2018,1280,C10,U120,Woodland,Broadleaved woodland,Forestry,1,12,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\543\416\54341674E.jpg,True
0-20 cm,54341718,7.4,8.08,15.71,27.6,24.0,26.5,2.9,511.5,13.45,287.5,0.9,1.9,EL,EL6,EL65,EL651,37.713397,22.59200333,13-10-18,227,B81,U111,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\543\417\54341718E.jpg,True
0-20 cm,54341736,7.5,7.94,40.0,21.8,514.0,26.5,1.9,174.1,13.45,287.5,0.9,1.9,EL,EL6,EL65,EL652,37.87429371,22.62190853,30-07-18,550,B81,U111,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\543\417\54341736E.jpg,True
0-20 cm,54341854,6.8,7.28,10.3,21.2,1.0,26.5,2.0,224.4,13.45,287.5,0.9,1.9,EL,EL6,EL64,EL644,38.92789512,22.82300655,28-07-18,157,B81,U111,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\543\418\54341854E.jpg,True
0-20 cm,54361642,7.4,7.84,13.09,12.6,133.0,26.5,1.2,57.1,13.45,287.5,0.5,0.5,EL,EL6,EL65,EL653,37.03058387,22.49000811,6/7/2018,243,B81,U111,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens),1,3,Moderate,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\543\616\54361642E.jpg,True
0-20 cm,54361648,6.9,7.25,9.52,19.2,3.0,26.5,2.0,95.5,13.45,287.5,0.9,1.9,EL,EL6,EL65,EL653,37.08428632,22.49969534,8/7/2018,447,D10,U420,Shrubland,Shrubland with sparse tree cover,Semi-natural and natural areas not in use,1,22,Moderate,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\543\616\54361648E.jpg,True
0-20 cm,54361666,6.3,6.54,7.98,27.3,1.0,26.5,2.3,206.1,13.45,287.5,0.9,1.9,EL,EL6,EL65,EL653,37.24536138,22.52888571,7/7/2018,994,D10,U420,Shrubland,Shrubland with sparse tree cover,Semi-natural and natural areas not in use,1,22,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\543\616\54361666E.jpg,True
0-20 cm,54361670,6.3,7.2,12.52,32.1,5.0,26.5,3.1,297.1,13.45,287.5,0.9,1.9,EL,EL6,EL65,EL653,37.28114928,22.53539878,8/7/2018,1276,D10,U420,Shrubland,Shrubland with sparse tree cover,Semi-natural and natural areas not in use,1,22,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\543\616\54361670E.jpg,True
0-20 cm,54361858,6.3,6.89,6.1,11.8,5.0,26.5,1.4,100.9,13.45,287.5,0.9,1.9,EL,EL6,EL64,EL644,38.96053238,22.85268862,30-07-18,209,B81,U111,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens),1,3,Moderate,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\543\618\54361858E.jpg,True
0-20 cm,54362020,7.4,7.79,18.85,10.6,42.0,26.5,1.0,219.1,13.45,287.5,0.9,1.9,EL,EL5,EL52,EL522,40.40360533,23.14471555,8/8/2018,312,E30,U112,Grassland,Spontaneously re-vegetated surfaces,Fallow land,1,10,Moderate,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\543\620\54362020E.jpg,True
0-20 cm,54381656,7.6,8.08,16.43,62.4,345.0,26.5,2.1,136.5,13.45,287.5,0.9,1.9,EL,EL6,EL65,EL653,37.15292575,22.53477978,7/7/2018,852,D10,U111,Shrubland,Shrubland with sparse tree cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\543\816\54381656E.jpg,True
0-20 cm,54381686,7.3,7.9,15.18,39.3,73.0,30.4,2.7,538.3,13.45,287.5,2.6,2.0,EL,EL6,EL65,EL651,37.4213083,22.58376455,22-05-18,549,B81,U111,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\543\816\54381686E.jpg,True
0-20 cm,54381718,7.5,8.18,19.79,14.4,640.0,26.5,1.5,192.7,13.45,287.5,0.5,0.5,EL,EL6,EL65,EL651,37.70743585,22.63661679,13-10-18,207,B81,U111,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens),1,3,Moderate,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\543\817\54381718E.jpg,True
0-20 cm,54381728,7.2,7.96,14.89,54.9,296.0,26.5,3.7,295.7,13.45,287.5,0.9,1.9,EL,EL6,EL65,EL652,37.79681971,22.653262,29-07-18,424,D20,U111,Shrubland,Shrubland without tree cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\543\817\54381728E.jpg,True
0-20 cm,54381790,7.3,7.81,14.22,46.2,6.0,26.5,4.8,545.2,13.45,287.5,0.9,1.9,EL,EL6,EL64,EL641,38.35067287,22.75785568,20-07-18,743,D10,U111,Shrubland,Shrubland with sparse tree cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\543\817\54381790E.jpg,True
0-20 cm,54381800,5.9,6.65,5.1,8.3,2.0,26.5,1.0,110.1,13.45,287.5,0.9,1.9,EL,EL6,EL64,EL641,38.43995163,22.7749534,21-10-18,613,C10,U120,Woodland,Broadleaved woodland,Forestry,1,12,Low,Neutral,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\543\818\54381800E.jpg,True
0-20 cm,54382046,6.4,6.99,6.3,6.0,5.0,26.8,0.9,136.9,13.45,287.5,0.9,1.9,EL,EL5,EL52,EL522,40.63172753,23.21656904,27-07-18,168,E30,U112,Grassland,Spontaneously re-vegetated surfaces,Fallow land,1,10,Low,Alkaline,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\543\820\54382046E.jpg,True
0-20 cm,54382064,5.1,5.96,5.61,16.1,1.0,26.5,1.5,76.3,13.45,287.5,0.9,1.9,EL,EL5,EL52,EL522,40.79176938,23.25054307,21-08-18,523,C10,U420,Woodland,Broadleaved woodland,Semi-natural and natural areas not in use,1,22,Moderate,Neutral,Moderate,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\543\820\54382064E.jpg,True
0-20 cm,54401630,5.0,6.21,3.06,2.8,5.0,26.5,0.5,51.9,13.45,287.5,0.9,1.9,EL,EL6,EL65,EL653,36.91726961,22.51482438,10/4/2018,287,B81,U111,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens),1,3,Low,Neutral,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\544\016\54401630E.jpg,True
0-20 cm,54401670,6.0,6.24,5.98,19.0,1.0,34.0,1.6,62.0,13.45,287.5,0.9,1.9,EL,EL6,EL65,EL653,37.27522077,22.57974342,8/7/2018,1256,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry,1,12,Moderate,Neutral,Moderate,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\544\016\54401670E.jpg,True
0-20 cm,54401750,7.4,8.02,19.53,7.5,682.0,26.5,1.2,373.8,13.45,287.5,0.9,1.9,EL,EL6,EL65,EL652,37.99040952,22.71249372,1/8/2018,130,B81,U111,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens),1,3,Low,Alkaline,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\544\017\54401750E.jpg,True
0-20 cm,54401804,7.5,8.2,9.96,10.5,6.0,26.5,1.3,117.3,13.45,287.5,0.9,1.9,EL,EL6,EL64,EL641,38.47263103,22.80435807,9/10/2018,174,B81,U111,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens),1,3,Moderate,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\544\018\54401804E.jpg,True
0-20 cm,54421632,5.6,6.19,8.45,26.6,1.0,26.5,2.5,81.6,13.45,287.5,0.9,1.9,EL,EL6,EL65,EL653,36.93221764,22.54011411,7/6/2018,353,B81,U111,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Neutral,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\544\216\54421632E.jpg,True
0-20 cm,54421668,7.1,7.45,48.8,127.9,217.0,31.2,6.0,126.8,13.45,287.5,0.9,1.9,EL,EL6,EL65,EL653,37.25435774,22.5986391,8/7/2018,1462,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry,1,12,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\544\216\54421668E.jpg,True
0-20 cm,54421730,7.4,7.79,26.29,30.6,564.0,37.1,3.7,510.6,13.45,287.5,0.9,1.9,EL,EL6,EL65,EL652,37.80870175,22.70127226,29-07-18,385,B81,U111,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\544\217\54421730E.jpg,True
0-20 cm,54421744,7.5,8.07,20.26,20.7,558.0,26.5,2.2,303.6,13.45,287.5,0.9,1.9,EL,EL6,EL65,EL652,37.93379757,22.72477559,1/8/2018,211,D10,U420,Shrubland,Shrubland with sparse tree cover,Semi-natural and natural areas not in use,1,22,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\544\217\54421744E.jpg,True
0-20 cm,54421790,7.4,7.87,15.45,30.7,16.0,26.5,3.2,269.8,13.45,287.5,0.9,1.9,EL,EL6,EL64,EL641,38.34462457,22.80286897,20-07-18,893,E10,U111,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\544\217\54421790E.jpg,True
0-20 cm,54421794,6.6,6.81,17.96,31.3,3.0,26.5,3.1,500.9,13.45,287.5,0.9,1.9,EL,EL6,EL64,EL641,38.38033408,22.80972327,20-07-18,831,E10,U111,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\544\217\54421794E.jpg,True
0-20 cm,54422010,7.5,8.07,13.79,13.8,70.0,26.5,1.4,212.9,13.45,287.5,1.1,0.6,EL,EL5,EL52,EL527,40.30524738,23.19564652,4/5/2018,114,B81,U111,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens),1,3,Moderate,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\544\220\54422010E.jpg,True
0-20 cm,54422118,7.4,8.04,14.28,10.6,241.0,11.3,0.8,85.0,13.45,287.5,0.9,1.9,EL,EL5,EL52,EL526,41.26525412,23.40090235,1/9/2018,239,E30,U112,Grassland,Spontaneously re-vegetated surfaces,Fallow land,1,10,Moderate,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\544\221\54422118E.jpg,True
0-20 cm,54441666,6.8,7.21,23.4,62.7,9.0,26.5,2.5,178.1,13.45,287.5,0.9,1.9,EL,EL6,EL65,EL651,37.23349071,22.6175246,22-05-18,1443,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry,1,12,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\544\416\54441666E.jpg,True
0-20 cm,54441810,7.6,8.2,18.0,8.6,106.0,26.5,1.3,320.1,13.45,287.5,0.9,1.9,EL,EL6,EL64,EL641,38.52010744,22.85980465,21-10-18,114,F40,U111,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens),1,3,Low,Alkaline,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\544\418\54441810E.jpg,True
0-20 cm,54461626,5.9,6.81,4.32,6.2,5.0,26.5,0.7,49.5,13.45,287.5,0.9,1.9,EL,EL6,EL65,EL653,36.87258805,22.57453058,7/6/2018,241,B81,U111,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens),1,3,Low,Alkaline,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\544\616\54461626E.jpg,True
0-20 cm,54462066,5.4,5.75,32.1,10.6,5.0,46.9,1.3,50.5,13.45,287.5,0.9,1.9,EL,EL5,EL52,EL522,40.79688704,23.34766733,22-05-18,620,E30,U319,Grassland,Spontaneously re-vegetated surfaces,"Electricity, gas and thermal power distribution",1,8,Moderate,Neutral,Moderate,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\544\620\54462066E.jpg,True
0-20 cm,54462094,5.6,6.24,6.24,6.3,5.0,54.4,0.9,133.6,13.45,287.5,0.9,1.9,EL,EL5,EL52,EL526,41.04568645,23.40138529,7/9/2018,54,B16,U111,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens),1,3,Low,Neutral,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\544\620\54462094E.jpg,True
0-20 cm,54481710,7.7,8.15,27.5,22.6,162.0,21.3,2.4,395.3,13.45,287.5,0.9,1.9,EL,EL6,EL65,EL651,37.62094198,22.73473792,13-10-18,40,B76,U111,Cropland,Oranges,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\544\817\54481710E.jpg,True
0-20 cm,54481800,7.2,7.88,11.87,5.7,34.0,26.5,0.6,65.7,13.45,287.5,0.9,1.9,EL,EL6,EL64,EL641,38.42476788,22.88761658,20-07-18,499,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry,1,12,Low,Alkaline,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\544\818\54481800E.jpg,True
0-20 cm,54481822,7.6,8.35,11.61,71.4,217.0,23.0,1.6,381.5,13.45,287.5,0.9,1.9,EL,EL6,EL64,EL644,38.62107842,22.92577437,6/9/2018,289,B74,U111,Cropland,Nuts trees,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\544\818\54481822E.jpg,True
0-20 cm,54482034,4.5,5.3,7.29,9.4,1.0,26.5,1.2,104.1,13.45,287.5,0.9,1.9,EL,EL5,EL52,EL522,40.50924971,23.31021222,27-07-18,489,E30,U112,Grassland,Spontaneously re-vegetated surfaces,Fallow land,1,10,Low,Acidic,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\544\820\54482034E.jpg,True
0-20 cm,54482052,8.0,8.9,25.8,9.8,17.0,26.5,1.3,186.2,13.45,287.5,0.9,1.9,EL,EL5,EL52,EL522,40.66927484,23.34431055,27-07-18,75,E30,U112,Grassland,Spontaneously re-vegetated surfaces,Fallow land,1,10,Low,Alkaline,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\544\820\54482052E.jpg,True
0-20 cm,54482070,4.8,5.7,3.75,8.7,5.0,26.5,1.0,59.2,13.45,287.5,0.9,1.9,EL,EL5,EL52,EL522,40.82925509,23.37864681,21-08-18,755,C10,U420,Woodland,Broadleaved woodland,Semi-natural and natural areas not in use,1,22,Low,Neutral,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\544\820\54482070E.jpg,True
0-20 cm,54482080,5.2,6.08,3.56,10.9,5.0,12.5,1.2,80.0,13.45,287.5,0.9,1.9,EL,EL5,EL52,EL526,40.91811366,23.39782615,6/9/2018,335,E30,U112,Grassland,Spontaneously re-vegetated surfaces,Fallow land,1,10,Moderate,Neutral,Moderate,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\544\820\54482080E.jpg,True
0-20 cm,54482124,7.1,7.89,20.0,36.6,602.0,26.5,3.3,296.3,13.45,287.5,0.9,1.9,EL,EL5,EL52,EL526,41.30892789,23.48310571,19-05-18,488,C33,U120,Woodland,Other mixed woodland,Forestry,1,12,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\544\821\54482124E.jpg,True
0-20 cm,54501640,7.5,8.32,17.95,8.7,233.0,26.5,1.0,106.3,13.45,287.5,0.9,1.9,EL,EL6,EL65,EL653,36.9919345,22.64138895,5/6/2018,233,B81,U111,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens),1,3,Low,Alkaline,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\545\016\54501640E.jpg,True
0-20 cm,54501802,7.6,8.21,15.18,10.0,121.0,26.5,1.1,355.4,13.45,287.5,0.9,1.9,EL,EL6,EL64,EL641,38.43956365,22.91360555,22-07-18,162,B15,U111,Cropland,Oats,Agriculture (excluding fallow land and kitchen gardens),1,3,Moderate,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\545\018\54501802E.jpg,True
0-20 cm,54501816,7.2,7.73,12.2,21.1,3.0,26.5,2.4,587.2,13.45,287.5,0.9,1.9,EL,EL6,EL64,EL644,38.56448598,22.93790978,6/9/2018,377,D10,U111,Shrubland,Shrubland with sparse tree cover,Agriculture (excluding fallow land and kitchen gardens),1,3,High,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\545\018\54501816E.jpg,True
0-20 cm,54502014,7.6,8.29,14.31,3.8,21.0,26.5,0.6,81.9,13.45,287.5,0.9,1.9,EL,EL5,EL52,EL527,40.32823335,23.29576574,4/5/2018,159,B81,U111,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens),1,3,Low,Alkaline,Low,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\545\020\54502014E.jpg,True
0-20 cm,54521710,7.4,7.92,30.33,15.6,211.0,24.4,2.3,532.9,13.45,287.5,0.9,1.9,EL,EL6,EL65,EL651,37.614915,22.77928334,13-10-18,37,B76,U111,Cropland,Oranges,Agriculture (excluding fallow land and kitchen gardens),1,3,Moderate,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\545\217\54521710E.jpg,True
0-20 cm,54521722,7.5,7.94,25.66,14.1,517.0,16.2,1.7,605.8,13.45,287.5,0.3,0.4,EL,EL6,EL65,EL651,37.72214977,22.79943962,22-04-18,290,B81,U111,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens),1,3,Moderate,Alkaline,High,C:\Users\DELL-E7470\Desktop\Folders\soil fertility\data\Photo\EL\545\217\54521722E.jpg,True
